Id,Label,timeset,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,eigencentrality
ADDAM_MARBRAND,ADDAM_MARBRAND,,0,3,3,5,0.328559,0.346282,0,4,0,390,0.333333,0
KEVAN,KEVAN,,1,18,19,4,0.41339,0.447087,80.319821,4,0,389,0.28655,0.001024
LEO_LEFFORD,LEO_LEFFORD,,2,1,3,6,0.355277,0.377941,18.201654,4,0,388,0.333333,0.002362
TYWIN,TYWIN,,2,56,58,4,0.484355,0.538329,324.239414,4,0,387,0.137326,0.002362
ADRACK_HUMBLE,ADRACK_HUMBLE,,0,2,2,4,0.348607,0.362113,0,0,0,397,0.5,0
THEON,THEON,,1,72,73,3,0.533058,0.582687,384.791396,0,0,396,0.123668,0.001024
RALF,RALF,,2,1,3,6,0.307143,0.346899,1.208604,0,0,391,0.333333,0.002362
AEGON,AEGON,,0,7,7,4,0.397317,0.421861,0,1,0,399,0.190476,0
AERYS,AERYS,,2,20,22,4,0.45565,0.485778,43.100182,1,0,386,0.277056,0.002725
MAESTER_AEMON,MAESTER_AEMON,,2,17,19,4,0.41326,0.446747,39.642315,2,0,385,0.30117,0.002777
ARYA,ARYA,,4,93,97,4,0.540426,0.606518,337.327647,3,0,384,0.089777,0.005403
DAVOS,DAVOS,,4,74,78,3,0.533619,0.587131,252.651719,0,0,378,0.1337,0.0066
SHIREEN,SHIREEN,,3,10,13,6,0.361678,0.399843,20.667345,2,0,375,0.307692,0.005427
RHAENYRA,RHAENYRA,,1,0,1,0,0,0,0,1,0,398,0,0.001024
DAENERYS,DAENERYS,,6,87,93,3,0.529496,0.597373,375.840032,1,0,372,0.083567,0.010941
AERON,AERON,,1,3,4,5,0.326494,0.341257,0,0,0,395,0.5,0.001339
YARA,YARA,,5,33,38,5,0.445665,0.494475,206.03151,0,0,369,0.203414,0.011447
EURON,EURON,,5,17,22,4,0.434416,0.466066,170.900893,0,0,365,0.298701,0.012449
BALON,BALON,,4,6,10,5,0.389189,0.417315,67.14219,0,0,364,0.322222,0.009798
BARRISTAN,BARRISTAN,,2,20,22,4,0.420868,0.458449,4.67224,1,0,371,0.222944,0.005352
CATELYN,CATELYN,,7,49,56,4,0.481233,0.533426,169.270962,6,0,363,0.150649,0.016548
JAIME,JAIME,,10,80,90,3,0.536732,0.5973,424.78971,4,0,361,0.119476,0.025075
JORAH,JORAH,,7,60,67,3,0.500703,0.556648,238.96077,1,0,359,0.11194,0.020096
NED,NED,,11,67,78,5,0.486897,0.557885,385.04916,5,0,356,0.104063,0.035144
RENLY,RENLY,,7,22,29,5,0.402537,0.447517,40.632261,4,0,349,0.263547,0.026516
RHAEGAR,RHAEGAR,,4,7,11,4,0.38796,0.416188,17.440913,1,0,353,0.363636,0.015074
RICKARD_STARK,RICKARD_STARK,,3,1,4,4,0.346154,0.407407,0.630252,5,0,355,0.333333,0.015542
ROBERT,ROBERT,,13,41,54,4,0.478621,0.525937,237.63167,1,0,347,0.183089,0.048281
SANSA,SANSA,,13,88,101,5,0.52187,0.601686,371.793096,0,0,346,0.11099,0.05554
SEPTA_MORDANE,SEPTA_MORDANE,,4,2,6,6,0.329502,0.351938,0.0625,5,0,344,0.433333,0.022294
PYCELLE,PYCELLE,,10,23,33,6,0.395857,0.444041,35.669724,4,0,345,0.27178,0.048892
JOFFREY,JOFFREY,,13,55,68,5,0.474412,0.538921,579.485057,4,0,343,0.12928,0.068104
TYRION,TYRION,,20,108,128,5,0.549433,0.639184,1624.782763,4,0,339,0.074865,0.09233
CERSEI,CERSEI,,20,66,86,5,0.488856,0.562361,500.637148,4,0,337,0.114227,0.10976
JON,JON,,18,87,105,5,0.518822,0.607781,1233.895839,2,0,326,0.091758,0.112314
VARYS,VARYS,,22,47,69,5,0.466872,0.534983,428.718954,1,0,303,0.168585,0.147996
OLENNA,OLENNA,,15,23,38,6,0.39356,0.459167,166.8737,4,0,282,0.202703,0.12253
ALANNA,ALANNA,,0,1,1,1,1,1,0,3,0,400,0,0
OWEN,OWEN,,2,0,2,0,0,0,0,3,0,373,0,0.003502
ALLISER_THORNE,ALLISER_THORNE,,3,20,23,6,0.371578,0.424678,36.956479,2,0,325,0.243083,0.022248
GRENN,GRENN,,6,21,27,6,0.367056,0.420612,92.904041,2,0,321,0.207977,0.044761
JEOR,JEOR,,10,12,22,6,0.338164,0.378631,75.44907,2,0,318,0.201299,0.099008
OTHELL_YARWYCK,OTHELL_YARWYCK,,4,9,13,6,0.350943,0.390143,11.662135,2,0,317,0.352564,0.038753
PYP,PYP,,8,14,22,6,0.351454,0.396942,94.532133,2,0,312,0.220779,0.074797
RAST,RAST,,6,12,18,5,0.355297,0.395697,33.936985,2,0,309,0.310458,0.070216
SAM,SAM,,21,57,78,5,0.484099,0.562956,1063.135518,2,0,277,0.119381,0.160903
JANOS,JANOS,,14,12,26,6,0.366621,0.412313,192.441121,2,0,275,0.221538,0.161416
LOCKE,LOCKE,,8,13,21,5,0.360923,0.402506,93.058001,2,0,273,0.2,0.091136
EDDISON_TOLLETT,EDDISON_TOLLETT,,18,24,42,5,0.412773,0.46761,416.908756,2,0,272,0.197445,0.160589
TORMUND,TORMUND,,15,45,60,5,0.441821,0.520992,398.434417,0,0,264,0.144915,0.153665
OLLY,OLLY,,11,9,20,6,0.327389,0.364981,59.895425,2,0,261,0.292105,0.137029
QHORIN,QHORIN,,4,3,7,6,0.264317,0.286806,3.819861,2,0,266,0.380952,0.059114
CRASTER,CRASTER,,8,11,19,5,0.346377,0.385914,32.718651,2,0,271,0.274854,0.109827
YGRITTE,YGRITTE,,7,16,23,5,0.35044,0.398466,270.108345,2,0,243,0.193676,0.098185
STANNIS,STANNIS,,23,27,50,5,0.412541,0.476,665.476221,2,0,256,0.170612,0.255494
DENYS,DENYS,,1,0,1,0,0,0,0,2,0,324,0,0.004111
MANCE,MANCE,,9,4,13,7,0.285354,0.313169,90.232118,2,0,233,0.262821,0.135588
BOWEN_MARSH,BOWEN_MARSH,,8,2,10,7,0.28375,0.307384,17.249639,2,0,260,0.4,0.100897
MELISANDRE,MELISANDRE,,23,18,41,6,0.390543,0.448281,831.641699,2,0,230,0.206098,0.266816
WUN_WUN,WUN_WUN,,6,5,11,5,0.318078,0.367506,12.477002,0,0,215,0.354545,0.077407
ALTON,ALTON,,3,4,7,6,0.303571,0.335644,21.812775,6,0,336,0.309524,0.040328
RICKARD_KARSTARK,RICKARD_KARSTARK,,5,14,19,6,0.345985,0.396414,63.833098,6,0,335,0.222222,0.025868
ROBB,ROBB,,20,38,58,5,0.426763,0.507415,913.518548,6,0,255,0.131276,0.189443
TALISA,TALISA,,5,11,16,6,0.327103,0.41254,52.434786,6,0,251,0.2,0.053535
TORRHEN,TORRHEN,,5,0,5,0,0,0,0,6,0,247,0.35,0.026474
ALYS,ALYS,,12,11,23,5,0.377888,0.418996,5.499126,0,0,263,0.450593,0.131955
NED_UMBER,NED_UMBER,,6,1,7,7,0.271756,0.292001,0,0,0,262,0.47619,0.092142
BRAN,BRAN,,26,47,73,4,0.496718,0.569016,1522.874423,5,0,242,0.143836,0.304137
GREY_WORM,GREY_WORM,,21,29,50,5,0.428571,0.50054,609.892283,0,0,228,0.215102,0.288853
LYANNA_MORMONT,LYANNA_MORMONT,,18,14,32,6,0.370435,0.42277,131.227262,0,0,227,0.318548,0.304657
BRIENNE,BRIENNE,,31,27,58,5,0.429735,0.498578,730.750982,0,0,226,0.220206,0.473566
YOHN_ROYCE,YOHN_ROYCE,,19,17,36,6,0.371226,0.429266,105.730987,0,0,209,0.312698,0.326934
MAESTER_WOLKAN,MAESTER_WOLKAN,,17,14,31,5,0.368515,0.421117,112.395292,0,0,206,0.310753,0.300677
BERIC,BERIC,,23,11,34,6,0.371069,0.422976,329.704946,0,0,207,0.316399,0.437871
GENDRY,GENDRY,,26,19,45,6,0.372093,0.443466,563.799058,0,0,205,0.234848,0.546852
MISSANDEI,MISSANDEI,,24,21,45,6,0.397028,0.465954,962.735734,1,0,187,0.190404,0.446368
QHONO,QHONO,,23,2,25,6,0.338298,0.367191,21.17738,0,0,159,0.465,0.581201
AMORY,AMORY,,2,4,6,6,0.29097,0.32251,0.72549,3,0,383,0.333333,0.00418
HOT_PIE,HOT_PIE,,5,9,14,7,0.296741,0.347165,154.455873,3,0,204,0.186813,0.138219
JAQEN,JAQEN,,6,8,14,6,0.302703,0.346329,389.141946,3,0,199,0.186813,0.119508
POLLIVER,POLLIVER,,5,5,10,6,0.329876,0.368553,78.071203,3,0,201,0.244444,0.032755
YOREN,YOREN,,12,8,20,5,0.363636,0.408646,236.991631,3,0,198,0.247368,0.177542
ANGUY,ANGUY,,5,2,7,6,0.322515,0.352306,34.570971,3,0,203,0.428571,0.160093
HOUND,HOUND,,32,37,69,5,0.471642,0.563502,2282.587212,3,0,158,0.1315,0.695179
THOROS,THOROS,,12,2,14,4,0.353846,0.389493,21.064697,3,0,146,0.335165,0.311937
ANYA_WAYNWOOD,ANYA_WAYNWOOD,,2,4,6,6,0.326923,0.365686,0,0,0,208,0.433333,0.048303
LITTLEFINGER,LITTLEFINGER,,33,28,61,5,0.411585,0.510741,1042.433551,0,0,150,0.156284,0.59244
LYSA,LYSA,,12,6,18,6,0.333333,0.39042,103.043587,0,0,145,0.281046,0.2619
ROBIN,ROBIN,,16,11,27,6,0.342391,0.417328,221.37704,0,0,127,0.27208,0.425689
VANCE_CORBRAY,VANCE_CORBRAY,,4,0,4,0,0,0,0,0,0,23,0.5,0.120369
AREO,AREO,,1,9,10,6,0.331565,0.397333,0.687775,4,0,360,0.388889,0.006174
DORAN,DORAN,,3,9,12,6,0.333333,0.400538,5.735132,4,0,328,0.333333,0.024275
BRONN,BRONN,,26,39,65,5,0.467681,0.59607,1883.61526,4,0,126,0.117788,0.47818
ELLARIA,ELLARIA,,17,17,34,6,0.367698,0.4581,188.495237,4,0,116,0.219251,0.261968
MYRCELLA,MYRCELLA,,12,6,18,9,0.227957,0.309913,35.652558,4,0,109,0.297386,0.27226
TRYSTANE,TRYSTANE,,7,2,9,9,0.191956,0.222071,2.611597,4,0,108,0.430556,0.141721
OBARA,OBARA,,11,3,14,8,0.234763,0.28022,119.003968,4,0,107,0.324176,0.16775
NYMERIA,NYMERIA,,10,1,11,8,0.223427,0.247989,45.833333,4,0,106,0.381818,0.152898
TYENE,TYENE,,12,3,15,7,0.284916,0.331232,369.673227,4,0,105,0.309524,0.177149
MAESTER_DORNE,MAESTER_DORNE,,4,0,4,0,0,0,0,4,0,104,0.5,0.057655
ARTHUR,ARTHUR,,2,2,4,6,0.28655,0.332313,0,5,0,241,0.5,0.046185
HOWLAND,HOWLAND,,3,2,5,6,0.328767,0.376389,7.783333,5,0,235,0.45,0.052238
THREE_EYED_RAVEN,THREE_EYED_RAVEN,,4,8,12,5,0.385246,0.47234,57.818914,5,0,234,0.272727,0.059041
ARTHUR_CHILD,ARTHUR_CHILD,,0,1,1,7,0.263708,0.295403,0,4,0,401,0,0
QYBURN,QYBURN,,22,11,33,6,0.35461,0.434333,775.697005,4,0,103,0.198864,0.435848
BAELOR,BAELOR,,10,2,12,7,0.233577,0.270089,5.268764,4,0,157,0.424242,0.173346
ILLYRIO,ILLYRIO,,4,2,6,4,0.4,0.467593,28.130556,1,0,302,0.366667,0.033673
ILYN_PAYNE,ILYN_PAYNE,,9,4,13,6,0.294118,0.345088,89.941197,4,0,151,0.384615,0.189549
JORY_CASSEL,JORY_CASSEL,,6,2,8,3,0.571429,0.708333,3.48284,0,0,149,0.339286,0.093196
LOMMY_GREENHANDS,LOMMY_GREENHANDS,,2,0,2,0,0,0,0,3,0,202,0.5,0.017356
MERYN_TRANT,MERYN_TRANT,,14,14,28,5,0.376,0.458511,692.285341,4,0,98,0.194444,0.284979
MYCAH,MYCAH,,4,0,4,0,0,0,0,5,0,340,0.5,0.032277
STABLE_BOY,STABLE_BOY,,1,0,1,0,0,0,0,3,0,382,0,0.002479
SYRIO_FOREL,SYRIO_FOREL,,4,0,4,0,0,0,0,3,0,93,0.5,0.115619
BITER,BITER,,4,1,5,1,1,1,0,3,0,156,0.45,0.111978
LOMMY,LOMMY,,5,0,5,0,0,0,0,3,0,140,0.4,0.157373
MOUNTAIN,MOUNTAIN,,33,8,41,3,0.494382,0.556818,457.543918,4,0,75,0.237805,0.826034
REGINALD,REGINALD,,2,0,2,0,0,0,0,3,0,350,0.5,0.00418
RHAENYS,RHAENYS,,1,1,2,1,1,1,0,3,0,381,0.5,0.002479
RORGE,RORGE,,6,0,6,0,0,0,0,3,0,144,0.433333,0.183636
TICKLER,TICKLER,,3,0,3,0,0,0,0,3,0,189,0.5,0.077274
VISENYA,VISENYA,,2,0,2,0,0,0,0,3,0,380,0.5,0.004026
ROOSE_BOLTON,ROOSE_BOLTON,,22,8,30,5,0.43299,0.531349,657.238838,0,0,64,0.216092,0.468209
TERNESIO_TERYS,TERNESIO_TERYS,,1,0,1,0,0,0,0,3,0,379,0,0.002479
FARMER_HAMLET,FARMER_HAMLET,,2,1,3,1,1,1,0,3,0,153,0.5,0.077217
DYING_MAN,DYING_MAN,,2,0,2,0,0,0,0,3,0,154,0.5,0.077217
SALLY,SALLY,,3,0,3,0,0,0,0,3,0,143,0.5,0.08541
PODRICK,PODRICK,,37,9,46,4,0.449612,0.518678,796.753739,4,0,91,0.243961,1
DONNEL_WAYNWOOD,DONNEL_WAYNWOOD,,2,0,2,0,0,0,0,3,0,155,0.5,0.077217
INNKEEPER,INNKEEPER,,3,1,4,1,1,1,0,3,0,142,0.5,0.082578
INNKEEPERS_DAUGHTER,INNKEEPERS_DAUGHTER,,2,0,2,0,0,0,0,3,0,141,0.5,0.077217
TOMMY,TOMMY,,4,0,4,0,0,0,0,3,0,139,0.5,0.091539
WAIF,WAIF,,2,2,4,5,0.333333,0.394253,234,3,0,196,0.333333,0.015659
THIN_MAN,THIN_MAN,,4,2,6,4,0.385965,0.443182,12.833333,3,0,76,0.4,0.049338
MACE,MACE,,18,9,27,3,0.583333,0.690476,140.422874,4,0,74,0.296296,0.432655
TYCHO,TYCHO,,9,1,10,3,0.5,0.583333,1.797934,4,0,68,0.311111,0.15279
MADAME,MADAME,,2,0,2,0,0,0,0,3,0,95,0.5,0.033266
WALDER,WALDER,,11,12,23,3,0.647059,0.757576,429.113263,6,0,22,0.193676,0.17376
LADY_CRANE,LADY_CRANE,,8,6,14,5,0.418182,0.541304,211.556946,4,0,195,0.373626,0.072976
BIANCA,BIANCA,,7,5,12,5,0.407407,0.520455,0.833894,4,0,194,0.439394,0.077358
IZEMBARO,IZEMBARO,,10,3,13,6,0.295775,0.385714,1.813095,4,0,193,0.435897,0.099742
CLARENZO,CLARENZO,,9,3,12,5,0.384615,0.4725,10.305322,4,0,192,0.439394,0.104589
BOBONO,BOBONO,,11,2,13,5,0.372549,0.444737,9.933894,4,0,191,0.429487,0.118586
CAMELLO,CAMELLO,,9,0,9,0,0,0,0,4,0,190,0.472222,0.10314
RICKON,RICKON,,11,13,24,4,0.454545,0.56,131.915378,5,0,213,0.221014,0.147276
ROBETT,ROBETT,,12,1,13,2,0.666667,0.75,92.695967,0,0,79,0.403846,0.385879
NORA,NORA,,2,1,3,1,1,1,0,3,0,131,0.5,0.077217
VICKY,VICKY,,3,0,3,0,0,0,0,3,0,129,0.5,0.08541
NIGHT_KING,NIGHT_KING,,13,6,19,4,0.404494,0.486111,218.278447,5,0,137,0.263158,0.257933
DORNISH_PRINCE,DORNISH_PRINCE,,13,4,17,4,0.5,0.588542,0,0,0,111,0.5,0.364726
EDMURE,EDMURE,,25,12,37,3,0.789474,0.888889,581.212074,6,0,21,0.210961,0.735654
IRONBORN_LORD,IRONBORN_LORD,,15,2,17,1,1,1,0,0,0,18,0.5,0.475506
RIVERLANDS_LORD,RIVERLANDS_LORD,,16,1,17,1,1,1,0,0,0,17,0.5,0.522738
VALE_LORD,VALE_LORD,,17,0,17,0,0,0,0,0,0,16,0.5,0.574001
ASSASSIN,ASSASSIN,,3,0,3,0,0,0,0,6,0,240,0.5,0.069087
AXELL_FLORENT,AXELL_FLORENT,,3,1,4,5,0.296296,0.329167,0,2,0,229,0.5,0.069292
SELYSE,SELYSE,,10,1,11,4,0.403509,0.442029,23,2,0,217,0.436364,0.151499
HIGH_SEPTON,HIGH_SEPTON,,15,6,21,4,0.431818,0.565789,40.712897,4,0,73,0.32619,0.316115
BALERION,BALERION,,3,0,3,0,0,0,0,4,0,102,0.5,0.067886
RAMSAY,RAMSAY,,20,9,29,4,0.53125,0.705882,482.850735,0,0,63,0.172414,0.430379
BALON_DWARF,BALON_DWARF,,1,4,5,5,0.323529,0.428788,0,4,0,342,0.45,0.011736
ROBB_DWARF,ROBB_DWARF,,5,3,8,5,0.388889,0.47381,9.006146,4,0,308,0.357143,0.058868
JOFFREY_DWARF,JOFFREY_DWARF,,6,3,9,5,0.384615,0.4725,17.918268,4,0,307,0.319444,0.067487
STANNIS_DWARF,STANNIS_DWARF,,3,2,5,4,0.377778,0.446078,6.166667,4,0,306,0.4,0.023937
RENLY_DWARF,RENLY_DWARF,,5,1,6,4,0.363636,0.411458,8.166667,4,0,305,0.366667,0.036702
BARRA,BARRA,,1,1,2,3,0.5,0.611111,0,2,0,274,0.5,0.021355
MHAEGEN,MHAEGEN,,5,1,6,2,0.666667,0.75,4,2,0,148,0.3,0.109678
LANCEL,LANCEL,,18,7,25,4,0.473684,0.62037,73.13428,4,0,72,0.285,0.46582
DAARIO,DAARIO,,6,10,16,2,0.75,0.833333,265.886958,1,0,185,0.204167,0.112467
KRAZNYS_MO_NAKLOZ,KRAZNYS_MO_NAKLOZ,,4,1,5,1,1,1,0.333333,1,0,167,0.45,0.060836
RADZAI_MO_ERAZ,RADZAI_MO_ERAZ,,3,0,3,0,0,0,0,1,0,163,0.5,0.055878
GOATHERD,GOATHERD,,5,1,6,1,1,1,64,1,0,175,0.333333,0.096362
MOSSADOR,MOSSADOR,,6,3,9,2,0.615385,0.6875,60.87674,1,0,183,0.291667,0.075455
HIZDAHR,HIZDAHR,,7,5,12,1,1,1,175.099567,1,0,173,0.234848,0.099988
BELICHO,BELICHO,,5,2,7,1,1,1,0,1,0,186,0.5,0.128037
RAZDAL,RAZDAL,,6,1,7,1,1,1,0,1,0,161,0.5,0.14255
YEZZAN,YEZZAN,,7,0,7,0,0,0,0,1,0,160,0.5,0.15852
BENJEN,BENJEN,,12,4,16,4,0.387387,0.443798,101.176844,5,0,197,0.283333,0.195461
MEERA,MEERA,,16,10,26,3,0.52381,0.616162,251.935123,5,0,134,0.207692,0.328206
